[Header]
Application Name	LabSolutions
0,91383	-295
0,91450	-296
0,91517	-296
0,91583	-296
0,91650	-296
0,91717	-296
0,91783	-296
0,91850	-295
0,91917	-295
0,91983	-295
0,92050	-295
0,92117	-295
0,92183	-295
0,92250	-295
0,92317	-295
0,92383	-295
0,92450	-295
0,92517	-295
0,92583	-295
0,92650	-294
0,92717	-294
0,92783	-294
0,92850	-295
0,92917	-295
0,92983	-295
0,93050	-295
0,93117	-295
0,93183	-295
0,93250	-295
0,93317	-295
0,93383	-295
0,93450	-295
0,93517	-295
0,93583	-295
0,93650	-295
0,93717	-295
0,93783	-295
0,93850	-295
0,93917	-296
0,93983	-296
0,94050	-296
0,94117	-296
0,94183	-296
0,94250	-297
0,94317	-297
0,94383	-298
0,94450	-298
0,94517	-298
0,94583	-299
0,94650	-299
0,94717	-299
0,94783	-299
0,94850	-299
0,94917	-299
0,94983	-299
0,95050	-299
0,95117	-299
0,95183	-299
0,95250	-299
0,95317	-299
0,95383	-300
0,95450	-300
0,95517	-300
0,95583	-300
0,95650	-300
0,95717	-300
0,95783	-300
0,95850	-299
0,95917	-299
0,95983	-299
0,96050	-299
0,96117	-298
0,96183	-298
0,96250	-298
0,96317	-299
0,96383	-299
0,96450	-299
0,96517	-299
0,96583	-300
0,96650	-300
0,96717	-300
0,96783	-301
0,96850	-301
0,96917	-301
0,96983	-301
0,97050	-301
0,97117	-301
0,97183	-301
0,97250	-301
0,97317	-301
0,97383	-302
0,97450	-302
0,97517	-302
0,97583	-302
0,97650	-302
0,97717	-302
0,97783	-302
0,97850	-302
0,97917	-302
0,97983	-302
0,98050	-302
0,98117	-302
0,98183	-301
0,98250	-301
0,98317	-301
0,98383	-301
0,98450	-301
0,98517	-301
0,98583	-302
0,98650	-302
0,98717	-302
0,98783	-302
0,98850	-302
0,98917	-302
0,98983	-302
0,99050	-302
0,99117	-302
0,99183	-302
0,99250	-302
0,99317	-302
0,99383	-302
0,99450	-303
0,99517	-303
0,99583	-303
0,99650	-302
0,99717	-302
0,99783	-302
0,99850	-302
0,99917	-302
0,99983	-302
1,00050	-301
1,00117	-301
1,00183	-301
1,00250	-301
1,00317	-301
1,00383	-301
1,00450	-301
1,00517	-301
1,00583	-301
1,00650	-301
1,00717	-301
1,00783	-302
1,00850	-302
1,00917	-302
1,00983	-302
1,01050	-303
1,01117	-303
1,01183	-303
1,01250	-303
1,01317	-303
1,01383	-303
1,01450	-303
1,01517	-303
1,01583	-303
1,01650	-303
1,01717	-303
1,01783	-303
1,01850	-303
1,01917	-304
1,01983	-304
1,02050	-304
1,02117	-304
1,02183	-304
1,02250	-304
1,02317	-304
1,02383	-303
1,02450	-303
1,02517	-303
1,02583	-303
1,02650	-303
1,02717	-303
1,02783	-303
1,02850	-303
1,02917	-303
1,02983	-303
1,03050	-303
1,03117	-303
1,03183	-303
1,03250	-303
1,03317	-303
1,03383	-303
1,03450	-303
1,03517	-303
1,03583	-303
1,03650	-303
1,03717	-303
